Fecha,Tipo,Número Registro,Nombre Comercial,Cantidad,Unidad,Peso,Valor,Modalidad,Importador,Exportador,Pais Origen,Pais Destino,Puerto Ingreso,Componente IAGT
3/2/2024 9:42,Fertilizantes,FER-20,FERTILIZANTE PRUEBA,45,KILOGRAMOS,45,2000,Exportación,NICOLE PRUEBA DE COLAS,TANIA YADIRA ROJAS MEJIA,COSTA RICA,AUSTRIA,ADUANA DE LIMÓN,
3/2/2024 9:55,Fertilizantes,FER-20,FERTILIZANTE PRUEBA,45,KILOGRAMOS,45,2000,Exportación,NICOLE PRUEBA DE COLAS,TANIA YADIRA ROJAS MEJIA,COSTA RICA,AUSTRIA,ADUANA DE LIMÓN,
18/6/2024 13:10,Fertilizantes,1563,PRUEBA SISCOG NO TOCAR,150,KILOGRAMOS,150,1600,Exportación,PRUEBAS SISCOG,RICARDO MORALES NOGUERA,COSTA RICA,GUATEMALA,ADUANA CENTRAL,Elementos Menores / Fósforo expresado (P2O5) / Nitrógeno Total expresado (N) / Potasio expresado (K2O) /
18/6/2024 13:37,Fertilizantes,1563,PRUEBA SISCOG NO TOCAR,150,KILOGRAMOS,150,1600,Exportación,PRUEBAS SISCOG NO TOCAR / PRUEBAS SISCOG,RICARDO MORALES NOGUERA,COSTA RICA,NICARAGUA,ADUANA CENTRAL,Elementos Menores / Fósforo expresado (P2O5) / Nitrógeno Total expresado (N) / Potasio expresado (K2O) /
26/10/2024 18:51,Fertilizantes,reg 2,prueba 2,25,KILOGRAMOS,25,1500,Exportación,PRUEBA,JUAN DIEGO CHAVARRIA VALVERDE,ALEMANIA,ALEMANIA,ADUANA DE CALDERA,
26/10/2024 18:50,Fertilizantes,C,C,"1000,65",KILOGRAMOS,"1000,65","4293,39",Exportación,Prueba Jose,PROMOTORA DEL COMERCIO EXTERIOR DE COSTA RICA,COSTA RICA,CANADÁ,ADUANA CENTRAL,
26/10/2024 18:50,Fertilizantes,G,G,"1000,65",KILOGRAMOS,"1000,65","4293,39",Exportación,Prueba Jose,PROMOTORA DEL COMERCIO EXTERIOR DE COSTA RICA,COSTA RICA,CANADÁ,ADUANA CENTRAL,
26/10/2024 19:34,Fertilizantes,C,C,"1000,65",KILOGRAMOS,"1000,65","4293,39",Exportación,Prueba Jose,PROMOTORA DEL COMERCIO EXTERIOR DE COSTA RICA,COSTA RICA,CANADÁ,ADUANA CENTRAL,
26/10/2024 19:34,Fertilizantes,G,G,"1000,65",KILOGRAMOS,"1000,65","4293,39",Exportación,Prueba Jose,PROMOTORA DEL COMERCIO EXTERIOR DE COSTA RICA,COSTA RICA,CANADÁ,ADUANA CENTRAL,
26/10/2024 20:18,Fertilizantes,C,C,"1000,65",KILOGRAMOS,"1000,65","4293,39",Exportación,Prueba Jose,PROMOTORA DEL COMERCIO EXTERIOR DE COSTA RICA,COSTA RICA,CANADÁ,ADUANA CENTRAL,
